"","deprivation","life expectancy","obesity","smoking"
"1",9.43,83.6,22.38,18.9
"2",20.33,81.7,25.83,18.43
"3",8.94,83.6,28.39,18.78
"4",8.78,83.9,24.11,16.21
"5",24.12,82.1,29.34,20.06
"6",6.31,84.5,25.31,26.41
"7",0,84.1,22.53,17.33
"8",0,84.9,22.49,16.05
"9",52.07,82.4,32.24,21.66
"10",5.67,85,18.98,13.23
"11",32.71,81.6,35.1,22.29
"12",39.57,81.6,24.01,23.47
"13",20.64,83.1,28.96,18.48
"14",0,83.3,24.89,18.57
"15",27.93,82.4,28.37,16.21
"16",4.03,84.5,18.21,15.58
"17",10.75,83.6,21.25,14.24
"18",9.17,84.3,25.05,16.65
"19",56.26,82.2,27.58,18.43
"20",0,84.7,26.24,15.8
"21",52.45,81.2,26.81,23.62
"22",48.02,80.1,30.56,26.93
"23",27.41,82.2,32.04,23.36
"24",41.45,81.6,24.42,20.93
"25",19.76,82.7,31.5,18.56
"26",16.33,83,22.5,17.87
"27",0,84.2,20.37,16.88
"28",45.25,81.4,28.06,20.21
"29",1.12,83.3,25.16,12.98
"30",1.71,83.2,24.6,18.39
"31",27.94,84.9,19.85,13.59
"32",0,84,21.04,12.61
"33",21.98,83.1,17.15,23.09
"34",26,82.8,21.74,18.94
"35",0,84.2,24.19,13.49
"36",7.91,84.9,21.75,13.96
"37",0,83.3,24.46,12.09
"38",2.4,84.4,25.71,19.15
"39",5.53,83.6,23.15,14.52
"40",49.44,80.1,26.26,27.91
"41",19.7,81.2,22.93,20.49
"42",20.88,82.1,26.53,20.22
"43",2.49,84.4,14.68,17.58
"44",24.87,86,13.91,16.85
"45",11.71,83.2,30.47,18.32
"46",7.86,83.6,22.15,20
"47",17.98,82,24.37,22.19
"48",3.2,82.4,27.53,26.9
"49",2.11,83.9,25.36,17.46
"50",2.72,83.5,21.22,18.4
"51",1.97,84.6,22.18,14.25
"52",10.82,84,21.82,14.71
"53",6.58,83.6,24.57,13.56
"54",7.73,83.6,24.03,12.55
"55",15.52,83.3,25.55,20.06
"56",25.94,82.2,29.35,26.4
"57",0,84.5,22.02,16.04
"58",0,86.4,17.7,7.34
"59",16.24,82.2,22.61,17.9
"60",3.53,85.7,19.47,15.82
"61",4.08,83.6,22.65,21
"62",20.05,81.3,27.92,28.68
"63",29.05,80.5,28.58,29.81
"64",9.82,83.5,25.93,19.27
"65",0,85.4,19.87,15.56
"66",28.74,81.3,27.28,20.61
"67",32.77,82.4,23.61,15.65
"68",4.04,84.7,20.89,13.98
"69",1.48,83.7,24.13,17.36
"70",17.32,83.5,22.09,17.08
"71",0,84.4,23.75,14.02
"72",27.05,82.4,27.24,20.09
"73",4.71,81.8,24.93,17.08
"74",2.24,83,23.39,14.22
"75",29,82.6,25.78,18.73
"76",2.24,84.2,20.5,12.86
"77",37.45,81.7,31.22,22.68
"78",18.39,82.8,21.83,18.64
"79",24.55,83.2,27.89,19.53
"80",20.9,84.3,21.9,16.39
"81",0,85.6,23.68,14.91
"82",1.65,84.3,20.64,11.17
"83",0,86,21.6,12
"84",0,84.1,21.18,18.49
"85",0,84.8,18.51,16.97
"86",22.33,82.1,29.87,21.03
"87",0,84.1,27.58,19.92
"88",8.33,82.9,25.08,14.17
"89",20.39,82.6,26.27,16.34
"90",16.56,83.3,24.19,17.35
"91",0,84.8,24.49,15.76
"92",0,84.6,23.14,11.32
"93",0,85,17.38,17.09
"94",27.7,84.3,26,13.6
"95",1.26,83.9,23.24,20.22
"96",0,85.5,20.52,12.16
"97",16.23,83.5,27.23,21.87
"98",12.52,83.9,18.42,16.12
"99",0,83.9,25.77,9.79
"100",13.39,82.8,31.49,21.18
"101",0,84.4,24.43,27.62
"102",0,83.5,25.62,20.77
"103",3.43,82.2,24.06,17.15
"104",39.04,81.2,27.18,20.96
"105",3.27,83.4,24.52,18.11
"106",23.82,83.3,28.85,22.08
"107",9.56,82.3,28.81,11.25
"108",14.18,83.3,26.8,21.74
"109",27.92,82,30.56,19.14
"110",43.73,82.8,25.51,17.29
"111",0,84.9,19.38,18.63
"112",79.89,83.2,18.21,20.02
"113",48.82,80.4,33.68,17.8
"114",0,85,23.68,12.13
"115",26.33,83.5,14.92,22.22
"116",0,84.8,22.64,15.59
"117",57.56,84.7,18.27,20.72
"118",8.09,83,27.91,23.84
"119",0.97,84.2,22.84,12.16
"120",2.07,85.9,20.44,13.13
"121",0,85.9,20.46,6.41
"122",48.18,81.6,32.71,23.4
"123",44.87,81.6,25.52,22.58
"124",28.95,83.2,27.79,17.74
"125",7.69,83.8,24.43,18.36
"126",6.06,83.9,24.79,14.43
"127",1.6,83.5,22.96,23.14
"128",4.58,83.2,22.09,15.26
"129",7.06,83.7,23.33,17.08
"130",0,84.4,26,17.56
"131",0,84.5,18.06,16.08
"132",8.35,83.4,20.24,12.3
"133",0,84.3,24.95,14.36
"134",41.41,81.2,25.35,22.43
"135",27.32,83.3,23.08,25.28
"136",5.97,83.4,24.34,16.18
"137",52.87,83.4,17.2,22.23
"138",23.51,86.2,14.3,18.67
"139",11.42,83,24.36,15.7
"140",12.06,83.7,27.9,16.74
"141",51.77,80.7,30.31,26.36
"142",1.12,84.5,16.58,13.46
"143",28.62,82.3,25.3,21.16
"144",59.95,80.8,28.48,21.74
"145",36.6,83.5,15.72,18.06
"146",18.98,82,21.45,18.78
"147",28.68,82.1,22.47,23.08
"148",41,81.9,22.37,20.72
"149",0,85.1,20.91,19.74
"150",36.59,83,22.89,20.63
"151",3.72,83.5,24.82,13.39
"152",28.37,82.1,23.98,18.49
"153",64.44,80.5,26.37,21.72
"154",27.48,82.3,25.45,20.05
"155",7.37,83.6,23.92,17.31
"156",0,83.5,24.32,24.13
"157",2.2,83.3,20.54,13.84
"158",65.1,80,23.02,25.85
"159",39.56,81.9,32.09,19.95
"160",14.97,82.5,26.51,22.73
"161",0,83.3,24.53,19.68
"162",1.3,84.5,22.06,15.14
"163",1.49,84.1,18.64,15.49
"164",2.53,85.6,23.21,12.74
"165",0,84.3,21.5,13.01
"166",0,84.6,19.6,15.79
"167",54.33,80.1,25.81,20.23
"168",12.9,82.6,26.09,19.12
"169",0,85.2,19.55,14.35
"170",0.97,84.9,22.55,12.53
"171",14.26,82.9,24.63,22.63
"172",37.58,81.8,20.53,19.57
"173",15.01,82.6,25.89,14.94
"174",83.81,82.6,22.68,20.64
"175",9.62,83.2,25.27,19.38
"176",0,85.6,23,20.95
"177",10.27,83.4,26.8,16.31
"178",38.04,81.7,29,23.34
"179",1.25,83.2,20.95,19.34
"180",0,83.7,25.33,13.93
"181",19.77,82.5,30.46,17.86
"182",1.14,84.7,28.03,14.3
"183",9.6,83.4,22.23,12.4
"184",24.15,82.5,25.38,18.62
"185",5.23,82.2,29.51,14.59
"186",3.2,83.6,29.05,16.87
"187",21.04,81.7,24.77,24.95
"188",15.43,82.5,26.33,16.52
"189",28.33,83.7,18.53,23.79
"190",51.9,81.7,23.06,24.16
"191",19.29,82.5,25.63,21.77
"192",0,84.6,21.21,14.13
"193",44.65,81.2,27.35,20.08
"194",14.66,83.7,13.03,13.97
"195",38.23,81.8,23.75,21.04
"196",34.11,82.6,26.07,18.63
"197",26.31,82.4,25.88,22.39
"198",6,84,21.37,15.53
"199",23.79,82.2,24.93,21.66
"200",42.02,81.2,23.88,25.25
"201",0,85.2,24.1,16.48
"202",11.13,83,21.09,16.96
"203",7.24,84.2,22.43,14.17
"204",35.54,82,29.19,18.89
"205",25.07,83,24.02,17.82
"206",1.1,84.5,21.88,13.43
"207",0,83.9,20.8,12.53
"208",0,85.9,12.98,11.23
"209",0,83.1,21.66,24.98
"210",45.85,81,28.42,21.06
"211",1.79,85.1,25.27,12.51
"212",18.98,81.8,24.07,23.81
"213",8.74,83.9,24.1,14.1
"214",33.44,81.4,30.69,18.36
"215",3.65,84,22.4,13.87
"216",0,84,22.54,14.67
"217",0,84.6,19.27,10.22
"218",2.83,82.9,23.8,16.8
"219",0,85.7,20.05,14.15
"220",0,82.7,24.2,10.9
"221",47.23,80.4,26.8,24.36
"222",59.53,81.4,27.2,20.63
"223",19.97,82.5,25.41,19.22
"224",7.73,84.2,28.98,19.5
"225",23.79,82.5,26.23,15.91
"226",1.63,83.7,27.48,19.79
"227",1.19,84.6,19.02,6.07
"228",34.93,82.4,25.25,17.67
"229",18.45,83.5,28.34,23.85
"230",2.68,83.9,23.06,15.25
"231",12.8,82.5,25.38,18.97
"232",15.98,84.8,21.04,12.56
"233",0,85.3,19.59,16.08
"234",0,85.9,19.37,11.72
"235",1.7,82.7,28.49,23.46
"236",0.49,84.5,23.34,13.93
"237",1.24,85.3,21.64,14.81
"238",0,83.3,30.67,22.71
"239",3.29,84,26.6,14.84
"240",0,83.9,20.07,12.12
"241",0,84.8,23.36,10.87
"242",0,84.7,22.21,9.46
"243",0,84.3,21.83,12.46
"244",3.68,82.8,21.94,15.52
"245",3.1,84.3,24.32,20.37
"246",0,83.3,25.26,9.7
"247",40.2,81.6,27.46,19.49
"248",24.93,82.7,24.11,20.5
"249",23.13,82.9,24.48,20.11
"250",35.58,83.8,21.12,16.51
"251",0,83.7,24.99,15.94
"252",0,84.4,18.61,9.88
"253",0,84.3,25.06,20.5
"254",36.49,81.6,28.37,19.43
"255",6.02,83.5,25.28,12.92
"256",4.55,83.2,23.21,14.29
"257",2.33,82.5,26.13,23.36
"258",12.92,83,21.18,17.14
"259",29.66,82.3,28.56,19.24
"260",52.58,80.6,29.71,18.69
"261",0,85.2,23.36,12.3
"262",0,83.1,18.8,10.54
"263",0,84.3,21.53,20.28
"264",36.96,80.9,28.64,22.76
"265",0,83.8,22.97,10.59
"266",4.82,84.1,21.44,15.33
"267",20.29,83.1,27.01,19.66
"268",14.4,82.8,25.18,17.83
"269",36.7,80.3,25.14,22.53
"270",13.7,82.6,30.13,8.97
"271",0,83.8,21.35,9.96
"272",3.96,83.6,22.16,16.48
"273",4.09,84.2,20.13,10.62
"274",23.58,81.5,30.84,20.67
"275",17.32,82,26.33,22.49
"276",1.23,84.5,20.4,10.14
"277",1.72,84.1,26.21,14.44
"278",31.38,82.6,25.41,23.8
"279",1.86,84.8,22.67,12.13
"280",13.35,82.7,29.74,20.75
"281",0,84.9,22.87,17.05
"282",18.73,82.8,24.6,19.92
"283",3.46,82.5,26.64,13.99
"284",70.24,82.6,14.8,22.1
"285",11.23,83.5,20.38,15.46
"286",0,85.3,19.63,17.92
"287",0,85.4,21.16,6.64
"288",1.16,84.2,22.86,15.8
"289",28.67,81.8,28.67,23.36
"290",45.91,82.8,29.38,18.73
"291",53.57,83.7,23.78,20.68
"292",11.71,83.3,15.03,14.39
"293",17.35,81.8,26.98,15.52
"294",0.99,84.4,19.42,13.67
"295",0,82.9,21.5,22.04
"296",15.29,83.3,25,19.94
"297",0,85.1,18.97,17.17
"298",2.82,84.7,23.19,15.18
"299",20.95,83.3,29.36,16.3
"300",1.47,84.8,22.74,22.4
"301",0.99,84.2,22.49,15.5
"302",0,84.9,23.06,12.78
"303",3.12,84.8,21.57,13.9
"304",18.92,82.5,26.92,13.68
"305",10.7,82.8,24.97,13.91
"306",0,83.9,21.15,12.14
"307",0,84.4,24.26,13.23
"308",23.48,85.9,16.4,19.98
"309",21.81,83,25.66,17.93
"310",30.33,80.9,26.23,20.63
"311",2.01,83.9,23.44,17.57
"312",0,85.4,17.2,8.19
"313",0,84.7,19.46,12.14
"314",31.62,82.3,21.75,17.62
"315",1.56,84.2,20.67,11.1
"316",0,84.7,19.27,9.8
"317",53.84,82,28.38,20.43
"318",17.14,83.4,25.14,22.01
"319",8.54,83.5,24.87,20.29
"320",0,84.8,24.63,16.34
"321",0,84.7,22.6,16.49
"322",12.55,81.6,26.73,17.14
"323",17.25,83.1,26.57,19.36
"324",7.17,83.5,19.59,18.43
